"parameter","estimates","se","p"
"(Intercept)"," 0.47***","0.08","0.000"
"sex","-0.14†","0.07","0.051"
"race"," 0.27***","0.08","0.001"
"age"," 0.01","0.04","0.775"
"baseline_HED"," 0.42***","0.03","0.000"
"baseline_social_desirability","-0.02","0.04","0.551"
"baseline_impulsivity"," 0.04","0.04","0.242"
"lifestress"," 0.08**","0.03","0.005"
"injunctive_workplace_norms"," 0.04","0.03","0.235"
"qualitative_role_overload"," 0.07*","0.03","0.036"
"quantitative_role_overload"," 0.12***","0.02","0.000"
"DASS"," 0.06†","0.04","0.079"
"I(DASS * DASS)","-0.07**","0.02","0.001"
