"parameter","estimates","se","p"
"(Intercept)"," 0.37***","0.09","0.000"
"sex","-0.13†","0.07","0.063"
"race"," 0.28***","0.08","0.000"
"age"," 0.01","0.04","0.856"
"baseline_HED"," 0.41***","0.03","0.000"
"baseline_social_desirability","-0.03","0.04","0.498"
"baseline_impulsivity"," 0.05","0.04","0.170"
"lifestress"," 0.08**","0.03","0.005"
"injunctive_workplace_norms"," 0.04","0.03","0.194"
"qualitative_role_overload"," 0.15***","0.04","0.000"
"quantitative_role_overload"," 0.11***","0.03","0.000"
"DASS"," 0.00","0.03","0.996"
"time"," 0.04","0.04","0.294"
"qualitative_role_overload:time","-0.15***","0.04","0.001"
"quantitative_role_overload:time"," 0.02","0.03","0.530"
"DASS:time"," 0.02","0.04","0.660"
