"parameter","estimates","se","p"
"(Intercept)"," 0.38***","0.08","0.000"
"sex","-0.13†","0.07","0.072"
"race"," 0.27***","0.08","0.001"
"age"," 0.01","0.04","0.894"
"baseline_HED"," 0.41***","0.03","0.000"
"baseline_social_desirability","-0.03","0.04","0.456"
"baseline_impulsivity"," 0.05","0.03","0.159"
"lifestress"," 0.08**","0.03","0.004"
"descriptive_workplace_norms"," 0.03","0.03","0.353"
"qualitative_role_overload"," 0.14***","0.04","0.000"
"quantitative_role_overload"," 0.11***","0.03","0.000"
"time"," 0.03","0.04","0.373"
"descriptive_workplace_norms:time"," 0.03","0.04","0.537"
"qualitative_role_overload:time","-0.15***","0.04","0.001"
"quantitative_role_overload:time"," 0.02","0.03","0.565"
