"parameter","estimates","se","p"
"(Intercept)"," 0.38***","0.08","0.000"
"sex","-0.13†","0.07","0.065"
"race"," 0.28***","0.08","0.001"
"age"," 0.01","0.04","0.874"
"baseline_HED"," 0.41***","0.03","0.000"
"baseline_social_desirability","-0.03","0.04","0.483"
"baseline_impulsivity"," 0.05","0.04","0.196"
"lifestress"," 0.08**","0.03","0.006"
"descriptive_workplace_norms"," 0.04","0.03","0.130"
"qualitative_role_overload"," 0.14***","0.04","0.000"
"quantitative_role_overload"," 0.11***","0.03","0.000"
"DASS"," 0.00","0.03","0.936"
"time"," 0.04","0.04","0.329"
"qualitative_role_overload:time","-0.15***","0.04","0.001"
"quantitative_role_overload:time"," 0.02","0.03","0.536"
"DASS:time"," 0.01","0.04","0.697"
