"parameter","estimates","se","p"
"(Intercept)"," 0.40***","0.08","0.000"
"sex","-0.13†","0.07","0.067"
"race"," 0.28***","0.08","0.000"
"age"," 0.01","0.04","0.895"
"baseline_HED"," 0.41***","0.03","0.000"
"baseline_social_desirability","-0.03","0.04","0.471"
"baseline_impulsivity"," 0.05","0.04","0.204"
"lifestress"," 0.08**","0.03","0.009"
"descriptive_workplace_norms"," 0.04","0.03","0.121"
"qualitative_role_overload"," 0.07*","0.03","0.028"
"quantitative_role_overload"," 0.11***","0.03","0.000"
"DASS"," 0.01","0.03","0.836"
