"parameter","estimates","se","p"
"(Intercept)"," 0.87***","0.12","0.000"
"sex","-0.26**","0.10","0.009"
"race","-0.12","0.10","0.259"
"age"," 0.10†","0.05","0.059"
"baseline_rutgers"," 0.28***","0.04","0.000"
"baseline_social_desirability","-0.04","0.06","0.541"
"baseline_impulsivity"," 0.08","0.06","0.172"
"lifestress"," 0.10*","0.05","0.043"
"injunctive_workplace_norms"," 0.14***","0.04","0.001"
"qualitative_role_overload"," 0.04","0.04","0.302"
"quantitative_role_overload"," 0.09†","0.05","0.076"
"DASS"," 0.31***","0.05","0.000"
"I(DASS * DASS)","-0.06†","0.03","0.056"
