"parameter","estimates","se","p"
"(Intercept)"," 0.79***","0.12","0.000"
"sex","-0.24*","0.10","0.013"
"race","-0.12","0.10","0.248"
"age"," 0.08†","0.05","0.090"
"baseline_rutgers"," 0.29***","0.04","0.000"
"baseline_social_desirability","-0.05","0.06","0.418"
"baseline_impulsivity"," 0.06","0.05","0.252"
"lifestress"," 0.10*","0.05","0.035"
"descriptive_workplace_norms"," 0.17***","0.05","0.000"
"qualitative_role_overload"," 0.10*","0.05","0.048"
"quantitative_role_overload"," 0.06","0.06","0.257"
"DASS"," 0.33***","0.06","0.000"
"time"," 0.10","0.08","0.240"
"I(DASS * DASS)","-0.07*","0.03","0.016"
"I(time * DASS * DASS)"," 0.05","0.05","0.363"
"qualitative_role_overload:time","-0.15*","0.07","0.037"
"quantitative_role_overload:time"," 0.04","0.07","0.520"
"DASS:time","-0.02","0.08","0.806"
