"parameter","estimates","se","p"
"(Intercept)"," 0.74***","0.12","0.000"
"sex","-0.17†","0.10","0.092"
"race","-0.14","0.11","0.195"
"age"," 0.08","0.05","0.123"
"baseline_rutgers"," 0.28***","0.05","0.000"
"baseline_social_desirability","-0.07","0.06","0.271"
"baseline_impulsivity"," 0.14*","0.05","0.010"
"lifestress"," 0.16**","0.05","0.001"
"descriptive_workplace_norms"," 0.16**","0.05","0.001"
"qualitative_role_overload"," 0.12*","0.05","0.016"
"quantitative_role_overload"," 0.11†","0.06","0.058"
"time"," 0.14*","0.06","0.023"
"descriptive_workplace_norms:time"," 0.02","0.07","0.776"
"qualitative_role_overload:time","-0.12†","0.07","0.085"
"quantitative_role_overload:time"," 0.03","0.07","0.696"
