"parameter","estimates","se","p"
"(Intercept)"," 0.74***","0.11","0.000"
"sex","-0.25**","0.10","0.010"
"race","-0.12","0.10","0.255"
"age"," 0.08","0.05","0.105"
"baseline_rutgers"," 0.29***","0.04","0.000"
"baseline_social_desirability","-0.05","0.06","0.391"
"baseline_impulsivity"," 0.06","0.05","0.237"
"lifestress"," 0.10*","0.05","0.043"
"descriptive_workplace_norms"," 0.17***","0.05","0.000"
"qualitative_role_overload"," 0.11*","0.05","0.025"
"quantitative_role_overload"," 0.07","0.06","0.238"
"DASS"," 0.24***","0.05","0.000"
"time"," 0.14*","0.06","0.026"
"qualitative_role_overload:time","-0.16*","0.07","0.027"
"quantitative_role_overload:time"," 0.04","0.07","0.536"
"DASS:time"," 0.04","0.06","0.499"
