"parameter","estimates","se","p"
"(Intercept)"," 0.81***","0.12","0.000"
"sex","-0.26*","0.10","0.011"
"race","-0.12","0.10","0.263"
"age"," 0.10†","0.05","0.059"
"baseline_rutgers"," 0.28***","0.04","0.000"
"baseline_social_desirability","-0.04","0.06","0.504"
"baseline_impulsivity"," 0.08","0.06","0.175"
"lifestress"," 0.11*","0.05","0.021"
"injunctive_workplace_norms"," 0.14***","0.04","0.001"
"qualitative_role_overload"," 0.11*","0.05","0.036"
"quantitative_role_overload"," 0.07","0.06","0.244"
"DASS"," 0.32***","0.06","0.000"
"time"," 0.10","0.09","0.251"
"I(DASS * DASS)","-0.08**","0.03","0.007"
"I(time * DASS * DASS)"," 0.06","0.06","0.291"
"qualitative_role_overload:time","-0.15*","0.07","0.027"
"quantitative_role_overload:time"," 0.05","0.07","0.468"
"DASS:time","-0.01","0.09","0.899"
