"parameter","estimates","se","p"
"(Intercept)"," 0.74***","0.12","0.000"
"sex","-0.19†","0.10","0.072"
"race","-0.14","0.11","0.208"
"age"," 0.09†","0.05","0.094"
"baseline_rutgers"," 0.27***","0.04","0.000"
"baseline_social_desirability","-0.05","0.06","0.381"
"baseline_impulsivity"," 0.15**","0.06","0.009"
"lifestress"," 0.16***","0.05","0.001"
"injunctive_workplace_norms"," 0.14***","0.04","0.001"
"qualitative_role_overload"," 0.13**","0.05","0.009"
"quantitative_role_overload"," 0.11†","0.06","0.067"
"time"," 0.16**","0.06","0.007"
"injunctive_workplace_norms:time"," 0.00","0.06","0.982"
"qualitative_role_overload:time","-0.13†","0.07","0.060"
"quantitative_role_overload:time"," 0.04","0.07","0.619"
